Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
Borderline-SMOTE,phoneme-5,KNN,0.8604729845479152,0.7087196423190607,0.8915362180822569,0.7895550888264443,0.9283243733031613,0.8129944412946623,0.8692150707000377,0.8695509859461534
Borderline-SMOTE,phoneme-5,RandomForest,0.8956333299071504,0.7812365039809577,0.8953217070412475,0.8343249845738508,0.9580843232037491,0.9007065955626338,0.8955113520769544,0.8955408806936045
Borderline-SMOTE,phoneme-5,SVM,0.7873793127077123,0.5864129041729669,0.9369402614923714,0.721258236509148,0.9074186447692238,0.7771302013146901,0.8242681071747626,0.8310966463603568
