Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE+ENN,yeast3-5,KNN,0.9002616252616253,0.5288104731525785,0.8770833333333334,0.659022773257566,0.9221520197688724,0.6135711965267128,0.8896766614425882,0.8900968410520298
SMOTE+ENN,yeast3-5,RandomForest,0.9393598143598144,0.6726143332246639,0.8837121212121211,0.7627696141346634,0.9665861891318848,0.8096189423654924,0.9140625726875969,0.9149864208118925
SMOTE+ENN,yeast3-5,SVM,0.9252115752115753,0.6069607441007576,0.9206439393939394,0.7311717057853534,0.971162338977251,0.8082937240942805,0.9230774589272865,0.9232293453401944
