Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
Borderline-SMOTE,poker-8-9_vs_6-5,KNN,0.9299663299663299,0.08702288050114136,0.24,0.12324582438434431,0.6826712328767124,0.09138553820906763,0.4705683720752575,0.5908904109589042
Borderline-SMOTE,poker-8-9_vs_6-5,RandomForest,0.98989898989899,1.0,0.4,0.5595238095238095,0.980958904109589,0.7396384571718588,0.6238353721684938,0.7
Borderline-SMOTE,poker-8-9_vs_6-5,SVM,0.9104377104377104,0.02517747858017136,0.12000000000000002,0.040999999999999995,0.49575342465753425,0.0672324097320295,0.25588649014743753,0.521986301369863
