Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
undersampling,yeast1-5,KNN,0.681929656929657,0.4668401265869992,0.7062106703146375,0.5617121267391056,0.7440873049318923,0.48625028772037127,0.688258789679734,0.6891242925032903
undersampling,yeast1-5,RandomForest,0.7257416507416508,0.5180537544605166,0.7386593707250342,0.6077880403200095,0.7984229225692261,0.6113590011891924,0.7279620627345496,0.7295192588222328
undersampling,yeast1-5,SVM,0.7041564291564292,0.4941817675623145,0.7529138166894664,0.5958268745399194,0.7960592838480042,0.5944488610529327,0.7169878466879781,0.7186370031314631
