Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE,yeast6-5,KNN,0.9265470015470015,0.21444631105220163,0.7714285714285715,0.33440166071745014,0.9092861404196568,0.30317628508099614,0.8434087000692514,0.8508604496565362
SMOTE,yeast6-5,RandomForest,0.9777550277550278,0.5166666666666667,0.6285714285714286,0.5573231721838533,0.9182545553718444,0.539103635045924,0.7705101241533668,0.8073831966863825
SMOTE,yeast6-5,SVM,0.9312699062699062,0.22934118450247482,0.8,0.35490063975033515,0.9444113385719397,0.5941552495346611,0.86061099644832,0.8672199021596467
