Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE+ENN,poker-8-9_vs_6-5,KNN,0.85993265993266,0.05739756367663344,0.48,0.10236754103390092,0.6991095890410959,0.069736259841523,0.6369679100189163,0.6732191780821918
SMOTE+ENN,poker-8-9_vs_6-5,RandomForest,0.9932659932659933,1.0,0.6,0.7285714285714284,0.9802739726027397,0.8966578606578606,0.7628208805100638,0.8
SMOTE+ENN,poker-8-9_vs_6-5,SVM,0.8316498316498316,0.036653793813674646,0.36,0.06644785451184537,0.6255479452054795,0.053807019230940153,0.5371892174101418,0.5998630136986302
