Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
undersampling,yeast4-5,KNN,0.8193966693966693,0.14008004347685252,0.8236363636363636,0.23925281749110772,0.8884212129334081,0.23143162648011403,0.8210233060141745,0.821434175580517
undersampling,yeast4-5,RandomForest,0.8268040768040767,0.1514194476611573,0.8618181818181817,0.2571054679750332,0.9125875233414036,0.2563183401833212,0.8428552073356776,0.8436609731731682
undersampling,yeast4-5,SVM,0.8537810537810537,0.16803898817051904,0.8236363636363636,0.2790465349437824,0.8796420431010231,0.32530986904104353,0.8388349343205654,0.8392456324163641
