Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE+ENN,yeast1-5,KNN,0.6671216671216671,0.45704858902732504,0.8042134062927497,0.5827707469767556,0.7480953831990197,0.47484069267581647,0.7010696424555316,0.7077939069378439
SMOTE+ENN,yeast1-5,RandomForest,0.710924560924561,0.5007361293738704,0.7223803009575923,0.5903058581872347,0.7973172502771637,0.614558221252872,0.7129630084607639,0.7142707191991754
SMOTE+ENN,yeast1-5,SVM,0.6421876421876422,0.4392302227879942,0.8576744186046513,0.5807378129117259,0.7954399284237005,0.6105044594920492,0.6891447675187665,0.7060883941364489
