Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
hybrid_sampling,phoneme-5,KNN,0.8647307020248741,0.7287923470216805,0.8593674979663909,0.7885486830193719,0.9289071741442971,0.8286627403476683,0.8630650226675343,0.8631581508002169
hybrid_sampling,phoneme-5,RandomForest,0.9080328570939116,0.8314967516043354,0.8612701624903281,0.8460204648961636,0.9612937604853377,0.9155975815689514,0.8936931606812877,0.8943606958966157
hybrid_sampling,phoneme-5,SVM,0.8047738719292836,0.6130064727550238,0.9085649663710493,0.7320592735408946,0.9126303225783421,0.8015624379989292,0.8318649443545443,0.8351112934069571
