Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
original,yeast6-5,KNN,0.9797752297752297,0.6000000000000001,0.48571428571428565,0.5281468531468532,0.8997393764808155,0.51665874206868,0.680113242133425,0.7387120527724275
original,yeast6-5,RandomForest,0.9831490581490581,0.7666666666666667,0.4,0.5053613053613054,0.8997206265873489,0.562942398046621,0.6088258450204762,0.6986183033050948
original,yeast6-5,SVM,0.9764150514150515,0.0,0.0,0.0,0.9002614757870694,0.6173182797913673,0.0,0.5
