Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE,glass5-5,KNN,0.9439645625692137,0.3571428571428571,0.8,0.4822222222222223,0.9890243902439024,0.7466666666666666,0.7750763657549223,0.875609756097561
SMOTE,glass5-5,RandomForest,0.9813953488372092,0.7333333333333333,0.7,0.6933333333333334,1.0,1.0,0.7389672755672274,0.8475609756097562
SMOTE,glass5-5,SVM,0.8224806201550388,0.11825396825396825,0.5,0.19018759018759018,0.6756097560975609,0.10646179401993354,0.4905085286100513,0.6670731707317072
