Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE+ENN,glass5-5,KNN,0.9158361018826134,0.2876190476190476,0.8,0.40444444444444444,0.9695121951219512,0.4466666666666666,0.7623565292689183,0.8609756097560975
SMOTE+ENN,glass5-5,RandomForest,0.9860465116279069,0.7333333333333333,0.8,0.76,1.0,1.0,0.7975459193299179,0.8975609756097562
SMOTE+ENN,glass5-5,SVM,0.041971207087486154,0.041971207087486154,1.0,0.08041343669250647,0.48048780487804876,0.10034128662035638,0.0,0.5
