Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
oversampling,yeast3-5,KNN,0.913065338065338,0.572959025002651,0.8524621212121213,0.6837579678985302,0.9151090788350918,0.610534383314038,0.8854570368828465,0.8864912092624359
oversampling,yeast3-5,RandomForest,0.9487919737919738,0.7555631949749596,0.7916666666666666,0.7729482717153061,0.966607161613996,0.8332165672303355,0.8751798210569893,0.8799356775300172
oversampling,yeast3-5,SVM,0.9258872508872509,0.6150574563863601,0.9022727272727273,0.7302905885062495,0.970923628437029,0.8153421343528005,0.9153466833713544,0.9155574614065181
