Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
oversampling,yeast4-5,KNN,0.935976885976886,0.27,0.5490909090909091,0.35848887355528725,0.7933559345311008,0.24070200742781073,0.7068060093066958,0.7494193611266782
oversampling,yeast4-5,RandomForest,0.9663094913094913,0.5444444444444445,0.19636363636363635,0.262406015037594,0.9275694815162664,0.4123631087958562,0.378137970251001,0.5950398382105699
oversampling,yeast4-5,SVM,0.876014651014651,0.17791201424780553,0.7236363636363636,0.2855565938210619,0.8987132822831271,0.43459906563960793,0.7965430658866608,0.8025018883555468
