Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
hybrid_sampling,glass5-5,KNN,0.9487264673311184,0.4333333333333334,0.7,0.5166666666666666,0.9378048780487805,0.7296511627906976,0.7251247166990724,0.8304878048780487
hybrid_sampling,glass5-5,RandomForest,0.9860465116279069,0.8,0.7,0.7333333333333333,0.998780487804878,0.9666666666666666,0.7414213562373095,0.85
hybrid_sampling,glass5-5,SVM,0.817718715393134,0.12000000000000002,0.4,0.18095238095238092,0.8512195121951219,0.23785714285714285,0.37197393671941537,0.6170731707317072
