Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
oversampling,phoneme-5,KNN,0.8647307020248741,0.7287923470216805,0.8593674979663909,0.7885486830193719,0.9289071741442971,0.8286627403476683,0.8630650226675343,0.8631581508002169
oversampling,phoneme-5,RandomForest,0.9084030561551376,0.832457486388917,0.8619030613257148,0.8467119129999091,0.9618732220984597,0.9171259249879679,0.8941319054537675,0.8948088930996423
oversampling,phoneme-5,SVM,0.8047738719292836,0.6130064727550238,0.9085649663710493,0.7320592735408946,0.912618770841687,0.8015858539532225,0.8318649443545443,0.8351112934069571
