Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
undersampling,yeast6-5,KNN,0.880068705068705,0.1529550074818617,0.8857142857142858,0.259888230950977,0.9150418463531457,0.23670232640036604,0.8804959670084447,0.882823733956057
undersampling,yeast6-5,RandomForest,0.8692942942942944,0.13560467665327,0.8285714285714285,0.2317425198925429,0.9280394429577106,0.5094906180492127,0.8435678588062704,0.8494247191777319
undersampling,yeast6-5,SVM,0.8901537901537901,0.16328403469485916,0.8857142857142858,0.2753610475464022,0.9266732575383095,0.47327436896478303,0.8860951546743008,0.8879877955238891
