Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
original,yeast1-5,KNN,0.7392187642187642,0.5622961609795922,0.4358139534883721,0.490415661349787,0.755006321276444,0.5083454549350852,0.6119596341401573,0.6491865975972665
original,yeast1-5,RandomForest,0.7783169533169533,0.6650392587918109,0.4802735978112175,0.5552505705089292,0.8132831737346102,0.6434910422681516,0.6560643299188631,0.6898998320809641
original,yeast1-5,SVM,0.7567567567567568,0.6955625868189536,0.2914090287277702,0.4092360932850365,0.7961221724444213,0.6141524248187054,0.5246401993721695,0.6186902963544064
