Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE+ENN,phoneme-5,KNN,0.845854490012677,0.6794085586001536,0.8991071960002381,0.7739318302489242,0.9044545597399496,0.7358173642159153,0.8605682477226587,0.861418789823522
SMOTE+ENN,phoneme-5,RandomForest,0.8636206187686298,0.7116005379015391,0.9010118445330635,0.7950652842334607,0.9384326595887984,0.8428090661519005,0.8741107826036021,0.8745516085558418
SMOTE+ENN,phoneme-5,SVM,0.7997779833487512,0.6054854269118125,0.913614268991925,0.7281647333780862,0.9083311296251356,0.7786138757047578,0.8290508591674645,0.8330523912325974
