Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
oversampling,poker-8-9_vs_6-5,KNN,0.9696969696969697,0.2545454545454545,0.32,0.2607142857142857,0.6871917808219179,0.2271010101010101,0.49223145545459435,0.6504109589041096
oversampling,poker-8-9_vs_6-5,RandomForest,0.9845117845117844,0.4,0.08,0.13333333333333333,0.9594520547945207,0.7164145484145484,0.17888543819998318,0.54
oversampling,poker-8-9_vs_6-5,SVM,0.9239057239057239,0.0894084249084249,0.4,0.145572019378471,0.667945205479452,0.1503694520877563,0.5894850903164766,0.6664383561643835
