Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE,yeast1-5,KNN,0.6934161434161433,0.47832217103883024,0.6691108071135432,0.5574834705287436,0.7447231280917526,0.48723750295336543,0.6854531130638243,0.6862141713292834
SMOTE,yeast1-5,RandomForest,0.7641527891527892,0.5910841893949358,0.601313269493844,0.5952198158019824,0.8043265409326962,0.6297355550189673,0.7059307259498798,0.7158225115241732
SMOTE,yeast1-5,SVM,0.7028141778141778,0.49321709068858005,0.757482900136799,0.5965441846057236,0.801064891954798,0.6070408273404431,0.717338247914818,0.719025810257973
