Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTE+ENN,yeast4-5,KNN,0.876014651014651,0.1826403883975849,0.7454545454545455,0.29290660942203595,0.8424063076612965,0.19075446404702578,0.8071216038870356,0.813058892327185
SMOTE+ENN,yeast4-5,RandomForest,0.9204909454909457,0.23047058823529412,0.569090909090909,0.3253357100415924,0.9268172404092582,0.39331585648540324,0.7207882592972334,0.751050900319193
SMOTE+ENN,yeast4-5,SVM,0.8497292747292748,0.15702597360920265,0.761818181818182,0.2600484903232948,0.8951494846616799,0.4273331137755899,0.8028525422229776,0.8072924636339269
