Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
undersampling,poker-8-9_vs_6-5,KNN,0.4572390572390573,0.012761231243483384,0.4000000000000001,0.02472922532717628,0.4042465753424658,0.022517570724787626,0.3732903828606339,0.429109589041096
undersampling,poker-8-9_vs_6-5,RandomForest,0.6760942760942761,0.043677142934831166,0.8400000000000001,0.08269337404837104,0.8198630136986301,0.2813364897170955,0.7430509095865679,0.7566438356164383
undersampling,poker-8-9_vs_6-5,SVM,0.5508417508417509,0.01692632446197013,0.44000000000000006,0.032582491193671397,0.453013698630137,0.022076723748429842,0.4854700389694111,0.4963698630136987
